vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.5	4.0_64.0	0.2	0.6	0	0	822	78	11	67	0.0	1.0	0.913	0.0	0.0	0.0	0.0	1.0
0.5	8.0_64.0	0.2	0.6	0	0	447	52	6	46	0.0	1.0	0.896	0.0	0.0	0.0	0.0	1.0
0.7_0.75	4.0_64.0	0.2	0.6	1	0	284	65	9	56	0.015	1.0	0.814	0.015	1.0	0.015	0.03	0.0
0.7_0.75	8.0_64.0	0.2	0.6	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.2	0.6	3	0	166	63	9	54	0.045	1.0	0.728	0.045	1.0	0.045	0.086	0.0
1.0	8.0_64.0	0.2	0.6	3	0	93	41	6	35	0.068	1.0	0.701	0.068	1.0	0.068	0.127	0.0
0.1_0.125	4.0_64.0	0.2	0.7	1	178	14958	65	25	40	0.015	0.988	0.984	0.003	0.006	0.015	0.009	0.994
0.1_0.125	8.0_64.0	0.2	0.7	1	125	9636	43	13	30	0.023	0.987	0.983	0.01	0.008	0.023	0.012	0.992
0.25	4.0_64.0	0.2	0.7	0	0	4559	66	19	47	0.0	1.0	0.986	0.0	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.2	0.7	0	0	2612	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.2	0.7	0	0	438	54	11	43	0.0	1.0	0.89	0.0	0.0	0.0	0.0	1.0
0.375	8.0_64.0	0.2	0.7	0	0	247	36	7	29	0.0	1.0	0.873	0.0	0.0	0.0	0.0	1.0
0.5	4.0_64.0	0.2	0.7	0	0	822	78	11	67	0.0	1.0	0.913	0.0	0.0	0.0	0.0	1.0
0.5	8.0_64.0	0.2	0.7	0	0	447	52	6	46	0.0	1.0	0.896	0.0	0.0	0.0	0.0	1.0
0.7_0.75	4.0_64.0	0.2	0.7	1	0	284	65	9	56	0.015	1.0	0.814	0.015	1.0	0.015	0.03	0.0
0.7_0.75	8.0_64.0	0.2	0.7	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.2	0.7	1	0	166	65	9	56	0.015	1.0	0.72	0.015	1.0	0.015	0.03	0.0
1.0	8.0_64.0	0.2	0.7	1	0	93	43	6	37	0.023	1.0	0.686	0.023	1.0	0.023	0.045	0.0
0.1_0.125	4.0_64.0	0.2	0.8	1	159	14977	65	25	40	0.015	0.989	0.985	0.004	0.006	0.015	0.009	0.994
0.1_0.125	8.0_64.0	0.2	0.8	1	112	9649	43	13	30	0.023	0.989	0.984	0.012	0.009	0.023	0.013	0.991
0.25	4.0_64.0	0.2	0.8	0	0	4559	66	19	47	0.0	1.0	0.986	0.0	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.2	0.8	0	0	2612	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.2	0.8	0	0	438	54	11	43	0.0	1.0	0.89	0.0	0.0	0.0	0.0	1.0
0.375	8.0_64.0	0.2	0.8	0	0	247	36	7	29	0.0	1.0	0.873	0.0	0.0	0.0	0.0	1.0
0.5	4.0_64.0	0.2	0.8	0	0	822	78	11	67	0.0	1.0	0.913	0.0	0.0	0.0	0.0	1.0
0.5	8.0_64.0	0.2	0.8	0	0	447	52	6	46	0.0	1.0	0.896	0.0	0.0	0.0	0.0	1.0
0.7_0.75	4.0_64.0	0.2	0.8	1	0	284	65	9	56	0.015	1.0	0.814	0.015	1.0	0.015	0.03	0.0
0.7_0.75	8.0_64.0	0.2	0.8	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.2	0.8	1	0	166	65	9	56	0.015	1.0	0.72	0.015	1.0	0.015	0.03	0.0
1.0	8.0_64.0	0.2	0.8	1	0	93	43	6	37	0.023	1.0	0.686	0.023	1.0	0.023	0.045	0.0
0.1_0.125	4.0_64.0	0.2	0.9	1	150	14986	65	25	40	0.015	0.99	0.986	0.005	0.007	0.015	0.01	0.993
0.1_0.125	8.0_64.0	0.2	0.9	1	106	9655	43	13	30	0.023	0.989	0.985	0.012	0.009	0.023	0.013	0.991
0.25	4.0_64.0	0.2	0.9	0	0	4559	66	19	47	0.0	1.0	0.986	0.0	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.2	0.9	0	0	2612	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.2	0.9	0	0	438	54	11	43	0.0	1.0	0.89	0.0	0.0	0.0	0.0	1.0
0.375	8.0_64.0	0.2	0.9	0	0	247	36	7	29	0.0	1.0	0.873	0.0	0.0	0.0	0.0	1.0
0.5	4.0_64.0	0.2	0.9	0	0	822	78	11	67	0.0	1.0	0.913	0.0	0.0	0.0	0.0	1.0
0.5	8.0_64.0	0.2	0.9	0	0	447	52	6	46	0.0	1.0	0.896	0.0	0.0	0.0	0.0	1.0
0.7_0.75	4.0_64.0	0.2	0.9	0	0	284	66	9	57	0.0	1.0	0.811	0.0	0.0	0.0	0.0	1.0
0.7_0.75	8.0_64.0	0.2	0.9	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.2	0.9	0	0	166	66	9	57	0.0	1.0	0.716	0.0	0.0	0.0	0.0	1.0
1.0	8.0_64.0	0.2	0.9	0	0	93	44	6	38	0.0	1.0	0.679	0.0	0.0	0.0	0.0	1.0
0.1_0.125	4.0_64.0	0.2	1.0	1	126	15010	65	25	40	0.015	0.992	0.987	0.007	0.008	0.015	0.01	0.992
0.1_0.125	8.0_64.0	0.2	1.0	1	86	9675	43	13	30	0.023	0.991	0.987	0.014	0.011	0.023	0.015	0.989
0.25	4.0_64.0	0.2	1.0	0	0	4559	66	19	47	0.0	1.0	0.986	0.0	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.2	1.0	0	0	2612	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.2	1.0	0	0	438	54	11	43	0.0	1.0	0.89	0.0	0.0	0.0	0.0	1.0
0.375	8.0_64.0	0.2	1.0	0	0	247	36	7	29	0.0	1.0	0.873	0.0	0.0	0.0	0.0	1.0
0.5	4.0_64.0	0.2	1.0	0	0	822	78	11	67	0.0	1.0	0.913	0.0	0.0	0.0	0.0	1.0
0.5	8.0_64.0	0.2	1.0	0	0	447	52	6	46	0.0	1.0	0.896	0.0	0.0	0.0	0.0	1.0
0.7_0.75	4.0_64.0	0.2	1.0	0	0	284	66	9	57	0.0	1.0	0.811	0.0	0.0	0.0	0.0	1.0
0.7_0.75	8.0_64.0	0.2	1.0	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.2	1.0	0	0	166	66	9	57	0.0	1.0	0.716	0.0	0.0	0.0	0.0	1.0
1.0	8.0_64.0	0.2	1.0	0	0	93	44	6	38	0.0	1.0	0.679	0.0	0.0	0.0	0.0	1.0
0.1_0.125	4.0_64.0	0.3	0.0	15	344	14792	51	25	26	0.227	0.977	0.974	0.204	0.042	0.227	0.071	0.958
0.1_0.125	8.0_64.0	0.3	0.0	13	236	9525	31	13	18	0.295	0.976	0.973	0.271	0.052	0.295	0.088	0.948
0.25	4.0_64.0	0.3	0.0	17	45	4514	49	19	30	0.258	0.99	0.98	0.248	0.274	0.258	0.266	0.726
0.25	8.0_64.0	0.3	0.0	12	19	2593	32	9	23	0.273	0.993	0.981	0.266	0.387	0.273	0.32	0.613
0.375	4.0_64.0	0.3	0.0	16	1	437	38	11	27	0.296	0.998	0.921	0.294	0.941	0.296	0.45	0.059
0.375	8.0_64.0	0.3	0.0	12	0	247	24	7	17	0.333	1.0	0.915	0.333	1.0	0.333	0.5	0.0
0.5	4.0_64.0	0.3	0.0	39	20	802	39	11	28	0.5	0.976	0.934	0.476	0.661	0.5	0.569	0.339
0.5	8.0_64.0	0.3	0.0	27	13	434	25	6	19	0.519	0.971	0.924	0.49	0.675	0.519	0.587	0.325
0.7_0.75	4.0_64.0	0.3	0.0	30	11	273	36	9	27	0.455	0.961	0.866	0.416	0.732	0.455	0.561	0.268
0.7_0.75	8.0_64.0	0.3	0.0	18	7	147	26	6	20	0.409	0.955	0.833	0.364	0.72	0.409	0.522	0.28
1.0	4.0_64.0	0.3	0.0	35	11	155	31	9	22	0.53	0.934	0.819	0.464	0.761	0.53	0.625	0.239
1.0	8.0_64.0	0.3	0.0	25	8	85	19	6	13	0.568	0.914	0.803	0.482	0.758	0.568	0.649	0.242
0.1_0.125	4.0_64.0	0.3	0.1	14	323	14813	52	25	27	0.212	0.979	0.975	0.191	0.042	0.212	0.07	0.958
0.1_0.125	8.0_64.0	0.3	0.1	12	220	9541	32	13	19	0.273	0.977	0.974	0.25	0.052	0.273	0.087	0.948
0.25	4.0_64.0	0.3	0.1	16	41	4518	50	19	31	0.242	0.991	0.98	0.233	0.281	0.242	0.26	0.719
0.25	8.0_64.0	0.3	0.1	12	17	2595	32	9	23	0.273	0.993	0.982	0.266	0.414	0.273	0.329	0.586
0.375	4.0_64.0	0.3	0.1	13	1	437	41	11	30	0.241	0.998	0.915	0.239	0.929	0.241	0.383	0.071
0.375	8.0_64.0	0.3	0.1	9	0	247	27	7	20	0.25	1.0	0.905	0.25	1.0	0.25	0.4	0.0
0.5	4.0_64.0	0.3	0.1	32	19	803	46	11	35	0.41	0.977	0.928	0.387	0.627	0.41	0.496	0.373
0.5	8.0_64.0	0.3	0.1	22	13	434	30	6	24	0.423	0.971	0.914	0.394	0.629	0.423	0.506	0.371
0.7_0.75	4.0_64.0	0.3	0.1	23	11	273	43	9	34	0.348	0.961	0.846	0.309	0.676	0.348	0.459	0.324
0.7_0.75	8.0_64.0	0.3	0.1	14	7	147	30	6	24	0.318	0.955	0.813	0.273	0.667	0.318	0.431	0.333
1.0	4.0_64.0	0.3	0.1	29	11	155	37	9	28	0.439	0.934	0.793	0.373	0.725	0.439	0.547	0.275
1.0	8.0_64.0	0.3	0.1	20	8	85	24	6	18	0.455	0.914	0.766	0.369	0.714	0.455	0.556	0.286
0.1_0.125	4.0_64.0	0.3	0.2	10	303	14833	56	25	31	0.152	0.98	0.976	0.132	0.032	0.152	0.053	0.968
0.1_0.125	8.0_64.0	0.3	0.2	9	209	9552	35	13	22	0.205	0.979	0.975	0.184	0.041	0.205	0.068	0.959
0.25	4.0_64.0	0.3	0.2	15	36	4523	51	19	32	0.227	0.992	0.981	0.219	0.294	0.227	0.256	0.706
0.25	8.0_64.0	0.3	0.2	11	15	2597	33	9	24	0.25	0.994	0.982	0.244	0.423	0.25	0.314	0.577
0.375	4.0_64.0	0.3	0.2	12	1	437	42	11	31	0.222	0.998	0.913	0.22	0.923	0.222	0.358	0.077
0.375	8.0_64.0	0.3	0.2	8	0	247	28	7	21	0.222	1.0	0.901	0.222	1.0	0.222	0.363	0.0
0.5	4.0_64.0	0.3	0.2	29	16	806	49	11	38	0.372	0.981	0.928	0.353	0.644	0.372	0.472	0.356
0.5	8.0_64.0	0.3	0.2	19	10	437	33	6	27	0.365	0.978	0.914	0.343	0.655	0.365	0.469	0.345
0.7_0.75	4.0_64.0	0.3	0.2	21	10	274	45	9	36	0.318	0.965	0.843	0.283	0.677	0.318	0.433	0.323
0.7_0.75	8.0_64.0	0.3	0.2	14	6	148	30	6	24	0.318	0.961	0.818	0.279	0.7	0.318	0.437	0.3
1.0	4.0_64.0	0.3	0.2	29	9	157	37	9	28	0.439	0.946	0.802	0.385	0.763	0.439	0.557	0.237
1.0	8.0_64.0	0.3	0.2	20	6	87	24	6	18	0.455	0.935	0.781	0.39	0.769	0.455	0.572	0.231
0.1_0.125	4.0_64.0	0.3	0.3	7	281	14855	59	25	34	0.106	0.981	0.978	0.087	0.024	0.106	0.039	0.976
0.1_0.125	8.0_64.0	0.3	0.3	6	193	9568	38	13	25	0.136	0.98	0.976	0.116	0.03	0.136	0.049	0.97
0.25	4.0_64.0	0.3	0.3	11	26	4533	55	19	36	0.167	0.994	0.982	0.161	0.297	0.167	0.214	0.703
0.25	8.0_64.0	0.3	0.3	9	10	2602	35	9	26	0.205	0.996	0.983	0.201	0.474	0.205	0.286	0.526
0.375	4.0_64.0	0.3	0.3	11	1	437	43	11	32	0.204	0.998	0.911	0.202	0.917	0.204	0.334	0.083
0.375	8.0_64.0	0.3	0.3	7	0	247	29	7	22	0.194	1.0	0.898	0.194	1.0	0.194	0.325	0.0
0.5	4.0_64.0	0.3	0.3	24	10	812	54	11	43	0.308	0.988	0.929	0.296	0.706	0.308	0.429	0.294
0.5	8.0_64.0	0.3	0.3	17	6	441	35	6	29	0.327	0.987	0.918	0.314	0.739	0.327	0.453	0.261
0.7_0.75	4.0_64.0	0.3	0.3	17	7	277	49	9	40	0.258	0.975	0.84	0.233	0.708	0.258	0.378	0.292
0.7_0.75	8.0_64.0	0.3	0.3	10	4	150	34	6	28	0.227	0.974	0.808	0.201	0.714	0.227	0.344	0.286
1.0	4.0_64.0	0.3	0.3	21	6	160	45	9	36	0.318	0.964	0.78	0.282	0.778	0.318	0.451	0.222
1.0	8.0_64.0	0.3	0.3	15	3	90	29	6	23	0.341	0.968	0.766	0.309	0.833	0.341	0.484	0.167
0.1_0.125	4.0_64.0	0.3	0.4	6	265	14871	60	25	35	0.091	0.982	0.979	0.073	0.022	0.091	0.035	0.978
0.1_0.125	8.0_64.0	0.3	0.4	5	185	9576	39	13	26	0.114	0.981	0.977	0.095	0.026	0.114	0.042	0.974
0.25	4.0_64.0	0.3	0.4	7	17	4542	59	19	40	0.106	0.996	0.984	0.102	0.292	0.106	0.156	0.708
0.25	8.0_64.0	0.3	0.4	5	4	2608	39	9	30	0.114	0.998	0.984	0.112	0.556	0.114	0.189	0.444
0.375	4.0_64.0	0.3	0.4	10	1	437	44	11	33	0.185	0.998	0.909	0.183	0.909	0.185	0.307	0.091
0.375	8.0_64.0	0.3	0.4	7	0	247	29	7	22	0.194	1.0	0.898	0.194	1.0	0.194	0.325	0.0
0.5	4.0_64.0	0.3	0.4	19	1	821	59	11	48	0.244	0.999	0.933	0.243	0.95	0.244	0.388	0.05
0.5	8.0_64.0	0.3	0.4	14	0	447	38	6	32	0.269	1.0	0.924	0.269	1.0	0.269	0.424	0.0
0.7_0.75	4.0_64.0	0.3	0.4	15	1	283	51	9	42	0.227	0.996	0.851	0.223	0.938	0.227	0.366	0.062
0.7_0.75	8.0_64.0	0.3	0.4	8	1	153	36	6	30	0.182	0.994	0.813	0.176	0.889	0.182	0.302	0.111
1.0	4.0_64.0	0.3	0.4	13	0	166	53	9	44	0.197	1.0	0.772	0.197	1.0	0.197	0.329	0.0
1.0	8.0_64.0	0.3	0.4	11	0	93	33	6	27	0.25	1.0	0.759	0.25	1.0	0.25	0.4	0.0
0.1_0.125	4.0_64.0	0.3	0.5	5	260	14876	61	25	36	0.076	0.983	0.979	0.059	0.019	0.076	0.03	0.981
0.1_0.125	8.0_64.0	0.3	0.5	4	183	9578	40	13	27	0.091	0.981	0.977	0.072	0.021	0.091	0.034	0.979
0.25	4.0_64.0	0.3	0.5	7	15	4544	59	19	40	0.106	0.997	0.984	0.103	0.318	0.106	0.159	0.682
0.25	8.0_64.0	0.3	0.5	5	3	2609	39	9	30	0.114	0.999	0.984	0.113	0.625	0.114	0.193	0.375
0.375	4.0_64.0	0.3	0.5	10	1	437	44	11	33	0.185	0.998	0.909	0.183	0.909	0.185	0.307	0.091
0.375	8.0_64.0	0.3	0.5	7	0	247	29	7	22	0.194	1.0	0.898	0.194	1.0	0.194	0.325	0.0
0.5	4.0_64.0	0.3	0.5	18	0	822	60	11	49	0.231	1.0	0.933	0.231	1.0	0.231	0.375	0.0
0.5	8.0_64.0	0.3	0.5	13	0	447	39	6	33	0.25	1.0	0.922	0.25	1.0	0.25	0.4	0.0
0.7_0.75	4.0_64.0	0.3	0.5	14	0	284	52	9	43	0.212	1.0	0.851	0.212	1.0	0.212	0.35	0.0
0.7_0.75	8.0_64.0	0.3	0.5	8	0	154	36	6	30	0.182	1.0	0.818	0.182	1.0	0.182	0.308	0.0
1.0	4.0_64.0	0.3	0.5	11	0	166	55	9	46	0.167	1.0	0.763	0.167	1.0	0.167	0.286	0.0
1.0	8.0_64.0	0.3	0.5	9	0	93	35	6	29	0.205	1.0	0.745	0.205	1.0	0.205	0.34	0.0
0.1_0.125	4.0_64.0	0.3	0.6	4	252	14884	62	25	37	0.061	0.983	0.979	0.044	0.016	0.061	0.025	0.984
0.1_0.125	8.0_64.0	0.3	0.6	4	176	9585	40	13	27	0.091	0.982	0.978	0.073	0.022	0.091	0.035	0.978
0.25	4.0_64.0	0.3	0.6	6	13	4546	60	19	41	0.091	0.997	0.984	0.088	0.316	0.091	0.141	0.684
0.25	8.0_64.0	0.3	0.6	5	3	2609	39	9	30	0.114	0.999	0.984	0.113	0.625	0.114	0.193	0.375
0.375	4.0_64.0	0.3	0.6	8	1	437	46	11	35	0.148	0.998	0.904	0.146	0.889	0.148	0.254	0.111
0.375	8.0_64.0	0.3	0.6	5	0	247	31	7	24	0.139	1.0	0.89	0.139	1.0	0.139	0.244	0.0
0.5	4.0_64.0	0.3	0.6	14	0	822	64	11	53	0.179	1.0	0.929	0.179	1.0	0.179	0.304	0.0
0.5	8.0_64.0	0.3	0.6	10	0	447	42	6	36	0.192	1.0	0.916	0.192	1.0	0.192	0.322	0.0
0.7_0.75	4.0_64.0	0.3	0.6	14	0	284	52	9	43	0.212	1.0	0.851	0.212	1.0	0.212	0.35	0.0
0.7_0.75	8.0_64.0	0.3	0.6	8	0	154	36	6	30	0.182	1.0	0.818	0.182	1.0	0.182	0.308	0.0
1.0	4.0_64.0	0.3	0.6	10	0	166	56	9	47	0.152	1.0	0.759	0.152	1.0	0.152	0.264	0.0
1.0	8.0_64.0	0.3	0.6	8	0	93	36	6	30	0.182	1.0	0.737	0.182	1.0	0.182	0.308	0.0
0.1_0.125	4.0_64.0	0.3	0.7	4	239	14897	62	25	37	0.061	0.984	0.98	0.045	0.016	0.061	0.025	0.984
0.1_0.125	8.0_64.0	0.3	0.7	4	168	9593	40	13	27	0.091	0.983	0.979	0.074	0.023	0.091	0.037	0.977
0.25	4.0_64.0	0.3	0.7	6	11	4548	60	19	41	0.091	0.998	0.985	0.089	0.353	0.091	0.145	0.647
0.25	8.0_64.0	0.3	0.7	5	3	2609	39	9	30	0.114	0.999	0.984	0.113	0.625	0.114	0.193	0.375
0.375	4.0_64.0	0.3	0.7	6	1	437	48	11	37	0.111	0.998	0.9	0.109	0.857	0.111	0.197	0.143
0.375	8.0_64.0	0.3	0.7	4	0	247	32	7	25	0.111	1.0	0.887	0.111	1.0	0.111	0.2	0.0
0.5	4.0_64.0	0.3	0.7	11	0	822	67	11	56	0.141	1.0	0.926	0.141	1.0	0.141	0.247	0.0
0.5	8.0_64.0	0.3	0.7	9	0	447	43	6	37	0.173	1.0	0.914	0.173	1.0	0.173	0.295	0.0
0.7_0.75	4.0_64.0	0.3	0.7	11	0	284	55	9	46	0.167	1.0	0.843	0.167	1.0	0.167	0.286	0.0
0.7_0.75	8.0_64.0	0.3	0.7	6	0	154	38	6	32	0.136	1.0	0.808	0.136	1.0	0.136	0.239	0.0
1.0	4.0_64.0	0.3	0.7	9	0	166	57	9	48	0.136	1.0	0.754	0.136	1.0	0.136	0.239	0.0
1.0	8.0_64.0	0.3	0.7	7	0	93	37	6	31	0.159	1.0	0.73	0.159	1.0	0.159	0.274	0.0
0.1_0.125	4.0_64.0	0.3	0.8	3	224	14912	63	25	38	0.045	0.985	0.981	0.03	0.013	0.045	0.02	0.987
0.1_0.125	8.0_64.0	0.3	0.8	3	162	9599	41	13	28	0.068	0.983	0.979	0.051	0.018	0.068	0.028	0.982
0.25	4.0_64.0	0.3	0.8	6	6	4553	60	19	41	0.091	0.999	0.986	0.09	0.5	0.091	0.154	0.5
0.25	8.0_64.0	0.3	0.8	5	2	2610	39	9	30	0.114	0.999	0.985	0.113	0.714	0.114	0.197	0.286
0.375	4.0_64.0	0.3	0.8	5	0	438	49	11	38	0.093	1.0	0.9	0.093	1.0	0.093	0.17	0.0
0.375	8.0_64.0	0.3	0.8	3	0	247	33	7	26	0.083	1.0	0.883	0.083	1.0	0.083	0.153	0.0
0.5	4.0_64.0	0.3	0.8	9	0	822	69	11	58	0.115	1.0	0.923	0.115	1.0	0.115	0.206	0.0
0.5	8.0_64.0	0.3	0.8	7	0	447	45	6	39	0.135	1.0	0.91	0.135	1.0	0.135	0.238	0.0
0.7_0.75	4.0_64.0	0.3	0.8	9	0	284	57	9	48	0.136	1.0	0.837	0.136	1.0	0.136	0.239	0.0
0.7_0.75	8.0_64.0	0.3	0.8	4	0	154	40	6	34	0.091	1.0	0.798	0.091	1.0	0.091	0.167	0.0
1.0	4.0_64.0	0.3	0.8	8	0	166	58	9	49	0.121	1.0	0.75	0.121	1.0	0.121	0.216	0.0
1.0	8.0_64.0	0.3	0.8	6	0	93	38	6	32	0.136	1.0	0.723	0.136	1.0	0.136	0.239	0.0
0.1_0.125	4.0_64.0	0.3	0.9	3	213	14923	63	25	38	0.045	0.986	0.982	0.031	0.014	0.045	0.021	0.986
0.1_0.125	8.0_64.0	0.3	0.9	3	151	9610	41	13	28	0.068	0.985	0.98	0.053	0.019	0.068	0.03	0.981
0.25	4.0_64.0	0.3	0.9	6	5	4554	60	19	41	0.091	0.999	0.986	0.09	0.545	0.091	0.156	0.455
0.25	8.0_64.0	0.3	0.9	5	2	2610	39	9	30	0.114	0.999	0.985	0.113	0.714	0.114	0.197	0.286
0.375	4.0_64.0	0.3	0.9	4	0	438	50	11	39	0.074	1.0	0.898	0.074	1.0	0.074	0.138	0.0
0.375	8.0_64.0	0.3	0.9	3	0	247	33	7	26	0.083	1.0	0.883	0.083	1.0	0.083	0.153	0.0
0.5	4.0_64.0	0.3	0.9	7	0	822	71	11	60	0.09	1.0	0.921	0.09	1.0	0.09	0.165	0.0
0.5	8.0_64.0	0.3	0.9	5	0	447	47	6	41	0.096	1.0	0.906	0.096	1.0	0.096	0.175	0.0
0.7_0.75	4.0_64.0	0.3	0.9	7	0	284	59	9	50	0.106	1.0	0.831	0.106	1.0	0.106	0.192	0.0
0.7_0.75	8.0_64.0	0.3	0.9	3	0	154	41	6	35	0.068	1.0	0.793	0.068	1.0	0.068	0.127	0.0
1.0	4.0_64.0	0.3	0.9	8	0	166	58	9	49	0.121	1.0	0.75	0.121	1.0	0.121	0.216	0.0
1.0	8.0_64.0	0.3	0.9	6	0	93	38	6	32	0.136	1.0	0.723	0.136	1.0	0.136	0.239	0.0
0.1_0.125	4.0_64.0	0.3	1.0	2	197	14939	64	25	39	0.03	0.987	0.983	0.017	0.01	0.03	0.015	0.99
0.1_0.125	8.0_64.0	0.3	1.0	2	138	9623	42	13	29	0.045	0.986	0.982	0.031	0.014	0.045	0.021	0.986
0.25	4.0_64.0	0.3	1.0	5	4	4555	61	19	42	0.076	0.999	0.986	0.075	0.556	0.076	0.134	0.444
0.25	8.0_64.0	0.3	1.0	4	2	2610	40	9	31	0.091	0.999	0.984	0.09	0.667	0.091	0.16	0.333
0.375	4.0_64.0	0.3	1.0	3	0	438	51	11	40	0.056	1.0	0.896	0.056	1.0	0.056	0.106	0.0
0.375	8.0_64.0	0.3	1.0	2	0	247	34	7	27	0.056	1.0	0.88	0.056	1.0	0.056	0.106	0.0
0.5	4.0_64.0	0.3	1.0	4	0	822	74	11	63	0.051	1.0	0.918	0.051	1.0	0.051	0.097	0.0
0.5	8.0_64.0	0.3	1.0	2	0	447	50	6	44	0.038	1.0	0.9	0.038	1.0	0.038	0.073	0.0
0.7_0.75	4.0_64.0	0.3	1.0	5	0	284	61	9	52	0.076	1.0	0.826	0.076	1.0	0.076	0.141	0.0
0.7_0.75	8.0_64.0	0.3	1.0	3	0	154	41	6	35	0.068	1.0	0.793	0.068	1.0	0.068	0.127	0.0
1.0	4.0_64.0	0.3	1.0	8	0	166	58	9	49	0.121	1.0	0.75	0.121	1.0	0.121	0.216	0.0
1.0	8.0_64.0	0.3	1.0	6	0	93	38	6	32	0.136	1.0	0.723	0.136	1.0	0.136	0.239	0.0
0.1_0.125	4.0_64.0	0.4	0.0	25	469	14667	41	25	16	0.379	0.969	0.966	0.348	0.051	0.379	0.09	0.949
0.1_0.125	8.0_64.0	0.4	0.0	21	318	9443	23	13	10	0.477	0.967	0.965	0.444	0.062	0.477	0.11	0.938
0.25	4.0_64.0	0.4	0.0	25	58	4501	41	19	22	0.379	0.987	0.979	0.366	0.301	0.379	0.336	0.699
0.25	8.0_64.0	0.4	0.0	18	25	2587	26	9	17	0.409	0.99	0.981	0.399	0.419	0.409	0.414	0.581
0.375	4.0_64.0	0.4	0.0	24	2	436	30	11	19	0.444	0.995	0.935	0.439	0.923	0.444	0.6	0.077
0.375	8.0_64.0	0.4	0.0	20	0	247	16	7	9	0.556	1.0	0.943	0.556	1.0	0.556	0.715	0.0
0.5	4.0_64.0	0.4	0.0	51	25	797	27	11	16	0.654	0.97	0.942	0.624	0.671	0.654	0.662	0.329
0.5	8.0_64.0	0.4	0.0	35	16	431	17	6	11	0.673	0.964	0.934	0.637	0.686	0.673	0.679	0.314
0.7_0.75	4.0_64.0	0.4	0.0	44	12	272	22	9	13	0.667	0.958	0.903	0.625	0.786	0.667	0.722	0.214
0.7_0.75	8.0_64.0	0.4	0.0	31	8	146	13	6	7	0.705	0.948	0.894	0.653	0.795	0.705	0.747	0.205
1.0	4.0_64.0	0.4	0.0	45	13	153	21	9	12	0.682	0.922	0.853	0.604	0.776	0.682	0.726	0.224
1.0	8.0_64.0	0.4	0.0	32	8	85	12	6	6	0.727	0.914	0.854	0.641	0.8	0.727	0.762	0.2
0.1_0.125	4.0_64.0	0.4	0.1	23	437	14699	43	25	18	0.348	0.971	0.968	0.319	0.05	0.348	0.087	0.95
0.1_0.125	8.0_64.0	0.4	0.1	19	299	9462	25	13	12	0.432	0.969	0.967	0.401	0.06	0.432	0.105	0.94
0.25	4.0_64.0	0.4	0.1	25	56	4503	41	19	22	0.379	0.988	0.979	0.367	0.309	0.379	0.34	0.691
0.25	8.0_64.0	0.4	0.1	18	25	2587	26	9	17	0.409	0.99	0.981	0.399	0.419	0.409	0.414	0.581
0.375	4.0_64.0	0.4	0.1	24	1	437	30	11	19	0.444	0.998	0.937	0.442	0.96	0.444	0.607	0.04
0.375	8.0_64.0	0.4	0.1	20	0	247	16	7	9	0.556	1.0	0.943	0.556	1.0	0.556	0.715	0.0
0.5	4.0_64.0	0.4	0.1	49	25	797	29	11	18	0.628	0.97	0.94	0.598	0.662	0.628	0.645	0.338
0.5	8.0_64.0	0.4	0.1	35	16	431	17	6	11	0.673	0.964	0.934	0.637	0.686	0.673	0.679	0.314
0.7_0.75	4.0_64.0	0.4	0.1	41	12	272	25	9	16	0.621	0.958	0.894	0.579	0.774	0.621	0.689	0.226
0.7_0.75	8.0_64.0	0.4	0.1	28	8	146	16	6	10	0.636	0.948	0.879	0.584	0.778	0.636	0.7	0.222
1.0	4.0_64.0	0.4	0.1	42	13	153	24	9	15	0.636	0.922	0.841	0.558	0.764	0.636	0.694	0.236
1.0	8.0_64.0	0.4	0.1	31	8	85	13	6	7	0.705	0.914	0.847	0.619	0.795	0.705	0.747	0.205
0.1_0.125	4.0_64.0	0.4	0.2	22	422	14714	44	25	19	0.333	0.972	0.969	0.305	0.05	0.333	0.087	0.95
0.1_0.125	8.0_64.0	0.4	0.2	18	288	9473	26	13	13	0.409	0.97	0.968	0.379	0.059	0.409	0.103	0.941
